intercept,village_dist,tourism_dist,river_dist,woodycover,nitrogen_dist,runoff,fire_freq,slope,sodium_dist,water_dist
1,27077.42212,0.43818446,1195.220238,0.900987786,17177.09648,12.11968,2,0.021615254,17290.12752,2236.067871
1,26776.82514,0.43120298,632.3529412,2.695369369,17946.5249,13.78976,3.157894737,0.035253834,18264.21815,1000
1,26266.58065,0.40790963,319.731884,3.960025716,18673.17627,13.41648,1.15,0.045407128,19275.70658,0
1,25240.04753,0.35111612,252.1860221,3.169772514,18487.73672,13.25365,0.45,0.007729643,19841.46172,0
1,24651.94184,0.40569601,180.4737874,2.03682335,18952.24316,13.25365,0,0.007729643,20618.82516,0
1,23543.23134,0.40145441,46.875,3.325315829,18653.75146,15.589705,1.047619048,0.008704487,20410.9775,0
1,22606.226,0.30229274,142.8571429,1.670367495,18942.34961,14.52265,5.684210526,0.008739963,20096.52836,1000
1,21855.17371,0.35577349,517.0845445,1.075594092,19070.59277,11.71543,7.529411765,0.011994131,19974.58716,2236.067871
1,21331.88177,0.30132782,808.6308953,0.66789425,20054.61279,11.71543,6.428571429,0.00713962,20225.60978,2236.067871
1,20416.93494,0.31326108,1251.405446,0.373865954,20012.11816,11.65322,5.611111111,0.006565901,19918.78238,3162.277588
1,19572.48633,0.31807334,1140.823044,0.357103558,19498.39746,11.82656,5.15,0.006883604,19047.35864,3000
1,18673.00724,0.34548459,1238.848438,0.59452549,18923.37826,11.91539,6.761904762,0.005753845,18142.31203,2828.427246
1,17809.5444,0.30982302,1236.174241,0.403123786,18389.87451,12.09467,7.055555556,0.00609045,17407.37064,2828.427246
1,16857.75391,0.31378311,1011.532631,1.010326825,18441.80156,12.21658,6.315789474,0.009303725,16655.48293,2000
1,15830.06592,0.29106744,459.1183431,2.097783141,18552.2915,12.60509,4.263157895,0.00724003,16272.88879,2828.427246
1,14975.98673,0.35235616,375.3423843,0.678655107,18679.35221,13.28398,6.894736842,0.007703601,16057.41695,3605.55127
1,13995.82988,0.31046272,977.9173012,0.641094333,19214.25293,11.93354,8.55,0.010035792,15866.28106,2828.427246
1,12940.34119,0.33135287,692.8074544,0.684853313,19420.40781,12.914335,6.888888889,0.005425096,15660.57886,3383.914429
1,12026.51829,0.31415238,1046.418998,0.344453725,19182.71191,12.84934,5.1,0.010207877,15222.8048,4123.105469
1,11015.02367,0.35896304,1693.685036,0.239271785,19094.06576,11.666055,6.35,0.010182006,15024.4606,4500
1,10024.74712,0.3765311,1863.124809,0.593084818,19357.85156,12.08627,4.947368421,0.007942513,15097.47799,4472.135742
1,9017.057966,0.29392313,1778.804133,0.754326448,19447.04346,12.5764,7.454545455,0.002686885,14959.9091,6324.555176
1,8003.91984,0.37843363,972.4866435,0.604368257,19096.79248,11.91117,7.058823529,0.007062986,15051.5056,6082.762695
1,7033.399447,0.31367645,281.5487061,0.710026756,19381.38542,12.10168,4.631578947,0.004082323,15066.32788,6000
1,25824.22935,0.32579899,83.33333333,3.462306539,18899.40479,13.41648,0.1,0.026764941,19745.15993,0
1,25286.64258,0.35509707,444.6893501,0.860059747,19703.24414,16.19813,0.444444444,0.009510155,20821.12398,0
1,25393.8457,0.32003041,733.3083049,1.041699263,20498.47559,11.63369,1.157894737,0.010897554,21591.99392,1000
1,26003.15881,0.33112814,860.6595603,1.707134286,21487.09766,11.4084,1.95,0.011898692,22137.88338,1000
1,26483.52832,0.32100781,605.9940098,2.292062825,22487.49658,11.4084,1.588235294,0.015027769,22653.89424,1000
1,27421.94646,0.33360919,958.5569314,1.845355101,23370.6543,12.1385,1.65,0.015003826,23088.34017,1000
1,28327.83667,0.30973586,1029.988434,2.083839867,24040.33154,11.51164,2.722222222,0.011125815,23273.24805,1000
1,29237.97839,0.30297486,738.8724772,1.246441387,24933.66162,11.4011,2.210526316,0.010211082,23579.22333,1000
1,29984.32904,0.31238821,681.4518145,1.353045477,25790.94336,11.84295,2.1,0.012369015,24267.85262,1000
1,30262.52846,0.24763652,632.100647,1.557258783,26610.77734,11.38707,1.058823529,0.014058108,25168.94596,1000
1,31093.43693,0.29376851,919.5930413,1.516087559,27640.15391,11.22233,0.954545455,0.019890449,25826.34758,500
1,30960.90885,0.3108469,184.8191757,1.929255487,28399.60889,13.07338,3.166666667,0.004937879,26724.689,1000
1,30963.22595,0.27855062,327.979763,0.558059979,29182.61865,12.28,5.421052632,0.017442588,27728.29958,1165.685449
1,31045.00134,0.28298216,980.2901039,0.520990718,30076.98096,11.57691,7.526315789,0.020251339,28710.57961,1414.213623
