V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
3.5,3.5,6.5,12,11.5,9.5,8.5,2.5,2,2.5,2.5,8
4.5,3.5,10.5,11.5,10.5,8.5,6.5,2,1.5,2,3,4.5
2.5,2.5,7.5,6.5,4,3,2.5,1.5,1.5,1.5,2,9.5
3.5,3.5,9,9,7,5.5,4.5,2,1.5,2.5,2.5,9.5
3,3,6,6,4.5,3.5,2.5,2.5,2,2,2.5,4.5
4,3.5,5,4.5,3.5,2.5,2.5,2,2,2,2.5,12
3.5,2.5,7,5.5,4.5,3.5,2.5,2.5,2,3,4.5,7
6.5,6.5,5.5,2.5,2,1.5,1.5,4.5,3.5,3,4,10
2.5,2.5,7.5,5,4,3,3,1.5,1.5,2,2,11.5
3,3,7,12.5,10,7.5,6.5,2,2,2,3,10
2,1.5,3,11.5,9.5,8.5,7,1,1,2,2,4.5
3,2.5,4.5,3.5,3,2.5,2.5,2,2,2,2.5,4
5.5,5,8,3.5,2.5,2,2,3,2.5,2.5,3,6
4,3,3,7.5,6,4.5,3.5,3.5,3,3,4,12
2.5,2.5,5.5,5.5,4,3,2.5,2,2,3.5,4.5,10.5
8.5,8,8,5.5,4,3,2.5,4,3.5,3,4,5.5
4,4,6.5,4.5,3.5,2.5,2,2,2,2,2.5,5.5
5,4.5,8.5,3.5,2.5,2,2,3.5,2.5,3,3.5,9.5
3,3,9.5,7,5.5,4.5,3.5,2,2,2,2.5,8
4,3.5,7,5.5,4.5,3.5,3,3,3,3.5,5,15
3,3,7,5,3.5,3,3,2.5,2,2.5,3,9.5
1,1,1.5,1,1,1,1,1,1,1,1,1.5
1,1,2,1,1,1,1,2,2,1.5,1,1
1,1,2.5,1,1,1,1,2.5,2.5,2.5,2,1.5
1,1,3.5,1,1,1,1,3,2.5,2.5,2.5,2
1,1,3,1,1,1,1,2,1.5,2,2,2
1.5,1.5,3.5,1.5,1.5,1.5,1.5,3.5,2.5,2.5,2.5,1.5
1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2
1.5,1.5,4,1.5,1.5,1.5,1.5,4,3,2.5,2.5,3.5
2.5,2.5,3,3,2.5,2,2,3.5,2.5,2.5,2,3
2.5,2.5,2.5,2.5,2,2,2,2,2,2,1.5,3
2,2,2.5,2,2,2,2,2,2,2,2,3
1.5,1.5,4,2,2,2,2,2.5,2.5,2.5,2.5,2.5
3,3,2.5,3,2,1.5,1.5,2,2,2,2,3
2.5,2.5,3,3,2.5,2,2,3,2.5,2.5,2.5,2.5
2,2,3,2,2,2,2,3.5,3.5,2.5,2.5,3.5
2,2,2.5,2.5,1.5,1.5,1.5,4,4,3.5,3,3.5
2,2,3,2.5,2,2,1.5,3.5,3.5,3.5,3,4
2.5,2.5,3,3,2.5,2,1.5,2.5,2,2,2,3
2,2,2,2,1.5,1.5,1.5,2.5,2,2,1.5,4.5
3,3,4.5,3,2.5,2,2,3.5,3,2.5,2.5,4.5
2,2,3,2.5,2.5,1.5,1.5,2,2,2,2,5.5
2,2,4,2,2,2,2,2.5,2.5,3,2.5,3.5
7.5,7.5,5,7,6,5,4,3,2,2,2.5,6
8,8,5,8.5,7,5,3.5,3.5,2.5,2.5,3.5,6.5
3.5,3.5,5,4,3.5,2.5,2,3,2.5,2.5,3,5
5.5,5.5,4.5,6,5,4,3,3.5,2.5,2,2,8
5.5,5.5,4.5,6,5,3.5,3,3,2.5,2.5,2.5,12.5
8,8,7,8,7,6.5,5,7,5,4.5,4,11.5
9.5,9.5,11.5,11,9.5,7,6,5,4,4,3,11
14.5,14.5,8.5,15.5,14.5,12,11,4.5,4,4.5,3.5,6.5
7.5,7.5,8.5,8.5,8,6,5,5,4,3.5,3.5,3.5
4.5,4.5,4.5,5.5,4,2.5,2.5,3.5,3,3,3,10
8,8,3.5,8,6,4.5,3.5,4,3.5,3,3,9.5
11,11,2.5,11.5,10,8.5,7.5,2.5,2.5,2.5,2.5,9
7,7,5,7,6,5.5,4.5,5,4,3,2.5,13
8,8,4.5,9.5,8,6,5,9.5,8.5,5,4.5,6
18,18,3,19,19,17,15,5.5,4.5,8,7.5,11
12,12,4,13,11,9.5,8.5,5,4,3,2.5,5.5
10.5,10.5,5.5,11,9,7,6,8.5,7.5,7.5,6.5,10
13,13,5,12,10.5,9,7.5,4,3,2.5,2,15.5
16,16,6,15.5,13.5,11.5,9,8,7,6,5.5,13
21.5,21.5,7.5,21,19,17.5,15,7.5,7,6.5,6,10.5
11,11,7.5,11.5,10.5,9.5,9,3.5,2.5,2.5,2.5,13.5
3,3,4.5,3.5,3,2.5,2,4,3,2.5,2,16
9,9,10.5,8.5,7,5.5,4,15.5,13.5,12.5,11,18
11,11,8.5,12.5,10,8,7,10.5,8.5,8,7,14
7,7,5.5,7.5,6.5,6,5.5,9,7.5,7,6.5,14.5
7.5,7.5,5,9,8,7,6,7.5,6.5,5.5,5,14.5
8.5,8.5,6,10,8.5,7,5.5,14,12,11,10,13.5
11.5,11.5,5.5,11,9,7,6,9.5,7.5,6.5,5,12.5
16.5,16.5,7.5,17.5,15,12,10,8.5,7.5,7.5,6.5,21
9,9,8,10,8.5,6.5,5.5,21,23,21.5,19.5,12
14,14,8.5,15,13,10.5,9,18,16,15,13,10
4,4,13.5,3.5,3,2,2,7,6,5.5,4.5,8
4,4,4.5,4.5,3.5,2.5,2,8.5,7,6.5,6,9
9,9,6,9,7.5,5.5,4.5,9,6.5,6,5,8.5
8,8,5,9,7.5,6,5,10.5,7.5,6,5.5,13.5
9.5,9.5,6,9,7.5,5,4,13,12.5,11.5,5.5,12.5
9,9,5,8.5,7,5,4,7.5,7,6.5,6.5,10
4.5,4.5,5,4,3.5,2.5,2,10,8.5,7,6,12.5
6.5,6.5,12.5,6.5,6,4,3,11.5,9.5,8.5,7,5.5
7.5,7.5,10,7,6,5.5,5,7.5,6.5,9.5,8,6
6.5,6.5,9,7,6,4,3,9,7.5,7,5.5,7.5
7.5,7.5,8,8,7.5,5.5,4.5,25,23.5,23,20.5,11
8.5,8.5,10.5,9,8.5,6.5,5.5,13.5,12.5,12.5,11,10
2.5,2.5,10.5,3,2.5,2,2,26.5,25,24.5,22.5,11
7.5,7.5,15,8.5,7,4.5,3,11,9.5,8.5,7.5,12
11.5,11.5,11,12.5,10.5,8.5,7,14,12,11,10,5
8.5,8.5,8,10.5,9,7,6,9,7.5,8,7.5,8
