jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
4.017115838,0.812338238,0.088446055,0.230000829,0.466303126,1.443369325,3.722503364,3.041706555,0.024893852,0.078370195,0.668015127,1.030307913
3.627477094,1.014016915,1.009492426,1.019724256,1.51302456,1.219894849,3.590589804,2.788563863,0.008649635,0.0038987,0.353010732,0.353555974
3.495520106,1.517583459,1.084033168,1.042239822,1.921247803,1.063343445,3.588654508,2.783232144,0.116196959,0.000556769,0.180255032,0.113988727
2.999866434,2.192188676,0.337223969,0.218612447,1.52088367,1.083048027,3.163436938,2.340820542,0.198719253,0.008161085,0.264282121,0.017492928
3.698205909,2.840455065,0.090074965,0.035446553,0.830706725,1.554064838,3.411271178,2.50079826,0.001241849,0.033347683,0.333676704,0.132287918
4.117530089,3.404355514,0.011662552,0.004160025,0.94449788,1.573356593,4.092363949,2.090874526,0.039323508,0.075160508,0.181579202,0.051553563
4.21030277,3.024667582,0.113443409,0.055892417,1.805551299,1.675288068,4.661630255,1.818491826,0.415519164,0.4326396,0.046502969,0.089915956
3.970487718,1.97529438,0.046382832,0.000166437,1.930477343,1.362493326,4.653030465,2.649108163,0.438509966,0.805966818,0.000814238,0.024696038
3.532225844,0.663612791,0.206747488,0.029546388,1.340019646,1.970051155,4.796895248,2.675601117,0.744051863,1.694596583,0.175061054,0.003028812
3.298996354,0.51511047,0.343979558,0.063532232,0.698564236,1.687991468,4.459170571,2.917980178,0.562503983,1.141349371,0.104577014,0.022351421
3.170918218,0.913663249,0.140887948,0.04271002,0.281682369,2.100963951,4.599007608,3.081019579,0.013705453,1.034062921,0.014983574,0.02808559
2.279275992,1.472976703,0.328862357,0.000418471,0.996442498,1.322812667,3.189948733,2.283215499,0.059140003,0.709934907,0.008970304,0.003161208
2.513692861,1.61469247,0.295565184,0.010323506,0.657739272,1.054131093,2.845410431,1.807631093,0.113319375,0.141994384,0.007883621,0.086750333
2.286850201,1.236865667,0.21808213,0.005370209,0.43607873,1.040878925,2.987659282,1.937346108,0.070851431,0.054095891,0.059463999,0.061699781
1.991479784,0.982579114,1.033158432,0.161937478,1.002608483,0.904259637,2.637888049,1.88518431,0.004226203,0.234651923,0.369378832,0.280990388
1.719231903,1.005937562,0.83711613,0.143079458,1.103408193,0.9277039,2.417332179,1.829830204,0.000739686,0.185650826,0.263402945,0.207036861
1.363513794,0.993324761,1.13837369,0.272274634,1.251406382,0.795153414,2.53414305,2.133067068,0.002450913,0.211370425,0.409003488,0.397599708
1.055262269,0.55469946,0.995284664,0.181694763,1.106013705,0.740855629,2.724702093,2.671689403,0.037955848,0.338341592,0.270593792,0.509977421
0.407467561,0.332277239,0.544439112,0.122392967,0.482587749,0.789222772,2.953603462,3.366712588,0.14746625,0.431205493,0.666738078,1.124936818
0.355292106,0.340730255,0.119836581,0.000458807,0.028566918,1.347581424,3.208828457,3.930264193,0.326863248,0.284108234,0.381078952,0.684291428
0.347715788,0.402858669,0.274573912,0.01421208,0.006255376,2.058053699,4.200699579,4.527839231,0.363045241,0.296049346,0.537074755,0.77286386
0.597250666,0.534462434,0.738641689,0.237803286,0.016889833,2.329361005,4.498788402,4.665784189,0.253613491,0.151277844,0.656872387,1.060750878
0.670023307,0.471714075,1.200668389,0.730817576,0.209531338,1.658697373,5.220515317,4.349613779,0.03167734,0.403919689,1.555002112,1.143950249
0.908945889,0.559627241,1.660923002,0.782619412,0.183252837,2.29415389,4.659504541,4.540218942,0.015383043,0.374040496,1.698298674,0.475662125
0.597207451,0.26435056,3.606130847,1.174700932,0.279996009,1.942348606,4.6282472,4.461464428,0.000246566,0.702881937,1.476812166,0.240551081
0.696120227,0.211789991,5.698519235,1.85855359,0.192139289,3.777599245,5.80706633,4.509541947,0.09067004,0.401032703,1.515635917,0.140512633
0.890265609,0.161864718,4.979541903,1.586381821,0.625747313,2.876797382,4.872801269,3.649447939,0.044890079,0.177699823,0.920372496,0.328337432
0.932994254,0.042977444,4.682968771,1.872385923,1.627933028,2.433307584,4.26912169,3.663312539,0.141988538,0.088329873,1.296586597,1.268500473
1.071712251,0.108798004,2.002063702,0.294992557,1.798961152,2.196832329,4.074311117,2.831686979,0.182820269,0.101140469,0.211664448,1.101834524
1.457141961,0.125499302,3.082988879,0.702099087,3.399742357,1.373922143,3.778725337,1.521484937,0.487530009,0.001958743,0.000241888,1.356157842
1.272427925,0.000747398,4.250434798,1.80255729,4.654422736,0.594179576,3.058323566,1.378016363,0.709868013,0.008929864,0.047561628,1.715302777
1.184529821,0.062109669,2.678969094,0.891738891,3.312434085,1.214270199,3.412635382,1.028675871,0.266013376,0.027188924,0.039069746,0.845330058
1.084641225,0.284887134,6.91491394,5.840758769,5.192227329,0.537569512,2.824992247,1.758431435,0.561461725,0.177010945,0.112080103,1.926058378
1.507686436,0.678977656,6.239607069,6.23919938,4.61925104,0.487203673,2.820724392,1.802332987,0.60254114,0.010061393,0.275696155,0.94643233
2.275704028,0.657424407,6.383906466,5.420879577,2.802541838,1.144313437,3.606270413,1.945031756,0.501889278,0.029431291,0.313096082,0.716209777
2.249636538,0.825421689,5.58225923,4.14449949,2.764932327,1.540714995,4.279065325,3.37401926,0.481407922,0.058210522,0.047595311,0.130259229
2.308016398,1.092118617,3.769457706,2.473736361,2.575228651,1.278694012,4.45148902,3.966583034,0.210675239,0.131194183,0.104598993,0.374807139
1.747574908,0.908653152,4.577086705,3.884853709,2.528564339,0.834926405,3.763241741,3.813991248,0.124777653,0.057378319,0.148514093,1.686050362
2.184402652,0.869482776,6.186097238,4.11269818,1.486544734,1.277029101,4.203371537,3.244071388,0.00847821,0.164587137,0.003271598,1.402504559
1.83961584,1.260706594,5.674615049,4.456060718,0.821791338,1.150211523,3.527769236,3.352357462,0.327081235,0.000260731,0.026954285,1.956469447
3.824860796,0.586063653,0.46794197,0.207488408,0.38013719,1.672085281,3.608373001,2.5635453,0.019180902,0.032736608,0.495256254,1.363814899
4.130485158,0.542546795,1.309481482,0.791244946,1.199687201,1.391438459,3.819134715,2.921975882,0.036082095,0.009073147,0.26276531,0.678473512
4.26903253,1.438761622,0.170910274,0.001160543,0.002484582,2.117255938,4.200285714,3.035502171,0.471467612,0.261232592,0.719927751,1.320057873
3.938641062,1.749153297,0.152646842,0.035442495,0.010961632,2.067790633,4.076419624,2.855667485,0.955109852,0.26213219,0.371075882,0.803287405
4.156979586,2.24942443,2.3615277,0.092308674,0.00184009,2.189631722,4.14355969,2.437042542,0.373258147,0.110798264,0.094520013,1.004058307
3.948771684,2.249146482,1.777105078,0.235739255,0.004825343,2.209473268,3.987831509,2.368623397,0.003340399,0.399569151,0.020812392,1.141733913
4.012326938,2.052101981,0.707017371,0.013426106,0.00363578,1.954766563,3.816882414,2.53747571,0.487933814,0.402152862,0.023943539,1.759257759
4.056415279,1.721699421,2.553236441,0.395850389,0.682743692,0.938173907,3.23911594,2.980088723,0.001626723,0.113648315,0.112926616,0.376612388
4.018033388,1.208146662,2.090339462,0.487527397,0.997474716,0.923052685,3.338914582,3.675735251,0.113667717,0.045862884,0.16154528,0.42646554
3.77956688,0.808049369,1.252087521,0.605775495,0.628858146,1.543699215,3.805429128,3.726076582,0.183329885,0.0619265,0.031515426,0.581473387
3.376773797,0.694668335,0.535354446,0.070921568,0.143260959,1.506573878,3.392262794,3.042672671,0.225454898,0.000370596,0.001002161,0.374766362
3.584375509,0.826054833,0.212378631,0.025028009,0.096878094,1.338417925,3.167651611,3.210693091,0.414482721,0.014651864,0.117766798,0.112565857
3.683591241,0.60782209,0.718095248,0.191330675,0.919487749,1.142105955,3.125926665,3.616641606,0.097932232,0.241981037,0.035273253,0.024508347
3.343340167,0.53068184,0.264076604,0.032503329,0.965358215,1.164639977,3.590328606,4.243069616,0.262230364,0.010451218,0.009984375,0.101264717
3.316043604,0.458664757,0.321498737,0.002170479,0.233660983,0.831372896,3.529121669,3.896192736,0.808973652,5.66547E-05,0.111945061,0.018700614
3.546937644,0.169826586,0.241941209,0.000331426,0.013290909,1.127470271,3.354963574,3.421904803,1.670706101,0.04724856,0.172595901,0.013881579
3.541265436,0.245699847,0.024229542,0.112211176,0.140822181,1.758515547,3.591076991,3.723902573,2.483132142,0.291078249,0.204101811,0.066823873
3.37715934,0.271186934,0.022004875,0.129902409,0.286618632,1.848229926,3.729258674,3.673982875,2.187890358,0.27824148,0.122362416,0.161256668
2.875927532,0.032387471,0.221325364,0.000509484,0.170065466,1.345078682,3.202006933,2.883728652,1.467228258,0.084588523,0.050518357,0.035363975
2.512619056,0.064723513,0.241654458,0.031130547,0.116929106,1.68361683,3.264046249,2.932179181,1.460943477,0.047049264,0.045018278,0.332850018
2.543973029,0.202315278,1.853259123,0.870823688,0.021794494,1.60705059,3.293512117,2.708206331,0.762869225,0.02520324,0.319546236,0.210858999
3.10165848,0.437684651,3.688246968,2.791960924,0.819450436,1.085764271,3.067064268,2.892038044,0.221298551,0.01835259,0.065894233,0.020944175
2.99383402,0.183309253,2.300259279,1.041393495,0.073770429,1.733437975,3.181893796,2.656782599,0.381808529,0.142957673,0.006159254,0.061818992
3.341351947,0.00171342,2.473697821,1.161881379,1.85467E-05,2.044563586,3.879336096,3.621797139,0.480197496,0.165418207,0.11228584,0.16133574
3.23910575,0.091731116,2.225413556,0.762131121,0.002809591,2.467218317,4.501101416,4.290426988,0.352087966,0.162379426,0.184657645,0.129574235
2.729405432,0.044894824,1.399475173,0.478618118,0.01419503,2.321529164,4.09276635,3.363409194,0.371037192,0.061980475,0.147015102,0.006922646
2.477096183,0.172228894,1.962801972,0.610142849,0.093152898,2.216536401,4.057396525,3.501393194,0.480889749,0.013032762,0.309263393,0.028190862
2.154345729,0.206972567,2.755492333,1.156034125,0.227932944,1.999784999,3.94466471,3.439953324,0.240416956,0.001596308,0.115897638,0.078181375
2.245312712,0.209333729,1.47397998,0.410462077,0.162227481,2.567285429,4.491358137,3.826179815,0.127647486,0.005764921,0.137742932,0.460154366
2.550716837,0.019768821,1.458647594,0.250929449,0.24438246,2.929163934,4.65513496,3.899918535,0.191953424,0.080243827,0.055405547,0.539094639
1.663028575,0.023201108,2.500657575,0.760144983,0.695366675,2.664464191,4.294129303,3.491166852,0.948371412,0.097009202,0.053113095,0.586967404
3.135057984,0.862761332,0.292667173,0.125434515,0.142998491,1.212787098,3.091339545,2.727341422,0.304578576,0.005586488,0.022683785,0.4381172
3.457860107,1.211443223,0.140134584,0.005153735,0.000562246,1.515615663,2.961706912,2.806919924,0.952199752,0.465834357,0.245851517,0.008017775
3.635531309,1.272512194,0.19945784,0.002974813,0.000575399,1.710695474,3.089726458,3.116603211,0.812633168,0.914941434,0.345973963,0.00937375
3.358200275,1.416548794,0.693403754,0.448284599,0.19598414,1.087192783,2.919950206,3.078592729,0.442398047,0.229024131,0.008394737,0.026524014
3.208866014,2.267219722,1.094090737,0.446756884,0.294054732,0.817573756,2.827418914,2.949909005,0.113845497,0.021300724,0.018828033,0.057250522
2.736714995,0.666510867,0.62678771,0.143919458,0.086739539,1.062697936,2.835062167,2.926554214,0.126078875,0.107038871,0.24870196,0.021495107
2.987497284,0.89936071,1.501870071,0.32868039,0.416868215,0.75506864,2.643801032,3.585048907,0.107675841,0.483832962,0.171050376,0.000230986
3.115824303,1.20665333,2.246643185,0.271143677,0.007437364,1.091889574,2.641234842,3.401149164,0.850957032,0.660852535,0.357231988,0.000775093
3.233615334,1.651577471,1.944372045,0.10597836,0.000138778,1.439801565,3.160973594,2.661032016,0.097754601,0.095632915,0.204271818,0.000144239
3.416599876,1.958273033,0.26119864,0.042540795,0.054175449,1.854793403,3.42146231,3.430172901,0.365795699,0.224260243,0.054175002,0.255832337
3.484619287,1.856810602,0.171121676,0.343643076,0.139051972,1.896296202,3.237421887,3.625519504,0.737416117,0.690587936,0.41982322,0.487308172
3.523052475,1.489228234,0.030378776,0.248343946,0.014518663,1.696420705,3.336953398,3.720644146,0.819062556,0.510361046,0.536860395,0.291248609
3.829690242,0.979700166,0.082094547,0.370605028,0.177768428,2.143826062,3.571927759,3.609798629,1.15176279,0.089708728,0.705954449,0.048826074
3.880713987,0.668484289,0.034150384,0.407847789,0.890410346,2.778693521,3.73034932,3.551881484,1.775755515,0.124224486,1.089784957,0.148475219
3.378430332,0.38209174,0.068237998,0.127912454,0.814368684,2.471905437,3.342721442,3.021857395,1.366520693,0.002229004,0.36267674,0.041685217
3.309887264,0.473809515,0.144457221,0.089532137,0.493623962,2.062345222,3.158107623,2.917981452,1.996403654,0.025625817,0.343044533,0.013978568
3.02242475,0.257307048,0.337223012,0.025725229,0.092418998,1.409462593,2.721783528,2.480466113,0.987759797,0.01712271,0.001349248,0.549420908
3.029664747,0.336093039,0.178035802,0.002213174,0.378833225,1.962557601,3.191424329,2.692881916,0.947167597,0.141307369,0.031696035,0.846067756
3.11848668,0.402612642,0.463154486,0.002644582,0.002336131,1.475976482,3.06932465,2.696174594,0.895783015,0.106895322,0.018009579,0.163866899
