"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","posteriors.signs"
"betas[1]",-2.01979058776131,0.00339234237776052,0.0880618859026752,-2.18390774034118,-2.07977492535805,-2.02032801728269,-1.95729964872904,-1.8550079051838,673.870754125177,1.01014449181762,1
"betas[2]",0.0569924034954816,0.00281099341296577,0.0830912823307286,-0.105186886901509,0.00374363695902038,0.0546667458542649,0.111972303759349,0.224590780543017,873.75820490353,1.00187952777194,0.967333333333333
"betas[3]",0.112865083679575,0.00195226466841376,0.076728618443286,-0.0424288755170381,0.0637848606043011,0.116743941332095,0.166325371747314,0.25704125937149,1544.67588930602,0.99952814461186,0.868666666666667
"betas[4]",-0.114954716932996,0.0033677411051738,0.0931916331007057,-0.302091821941055,-0.176319232203385,-0.114694776295278,-0.0472088105915246,0.0534417413960621,765.731387588582,1.00352937946487,0.829333333333333
"betas[5]",-0.399447149026878,0.00278026285610969,0.0996045661113576,-0.591558712280479,-0.465516055741367,-0.401716398413167,-0.328999984015939,-0.205422336395094,1283.47312914475,0.99911350166708,0.984666666666667
"betas[6]",-0.213162153391893,0.0139079722611611,0.31370103374085,-0.820390687195213,-0.423945277451197,-0.217150967037408,0.00308092228540203,0.368085899224626,508.749819330609,1.01038491006557,0.982666666666667
"betas[7]",-0.653274576601988,0.0242073922096594,0.664235373997241,-1.91093730379373,-1.10289440620235,-0.646117376932907,-0.227301677284512,0.766690860325094,752.918532740794,1.00461038709905,0.798
"betas[8]",0.11269452839626,0.00270757376576371,0.0908704272747755,-0.0640303684561931,0.0539509959762434,0.110832582050772,0.176014428587012,0.289963019227233,1126.3790008199,0.999243440832131,0.996
"betas[9]",0.0464644195264848,0.00191182408510774,0.0662467140814824,-0.0877776944235714,0.00349378092010316,0.0473609683629264,0.091701288182576,0.169290026470742,1200.69534284968,1.00340575176842,1
"betas[10]",0.434013025319825,0.0138253275995564,0.328636510175539,-0.189980821990821,0.206340486202071,0.437873644343845,0.658379290006394,1.08780454270017,565.042036234519,1.00526920646333,0.908666666666667
"betas[11]",-0.104845657055352,0.0124194109763312,0.309031060408031,-0.732522679719581,-0.316414776908301,-0.0865747590712861,0.0971590202270496,0.486747083236558,619.159109213285,1.00945285167393,0.999333333333333
"betas[12]",0.175424647028862,0.0156572795318947,0.355893463608377,-0.524418153456463,-0.0596796007279971,0.174519590832665,0.432416568328266,0.846787049511895,516.663061656162,1.01254278944613,0.999333333333333
"betas[13]",0.611598229527736,0.0243068679316278,0.669442940939099,-0.835798141554709,0.188040804843842,0.603068776504349,1.07235394194804,1.8449088475416,758.523657044333,1.00434418256164,0.774666666666667
"betas[14]",0.226306049571039,0.00882024085881733,0.222322267168483,-0.209692826871642,0.0750720030417593,0.222494534588823,0.375585721956628,0.677828751291122,635.338298455565,1.00652283371455,0.66
"betas[15]",-0.381672281973415,0.0102726927193109,0.270634117084138,-0.908183551553659,-0.571587544721113,-0.376044843622534,-0.193971311902691,0.121387242818478,694.059165506909,1.00392889395317,0.741333333333333
"betas[16]",0.0575024427356198,0.00225633198760128,0.0685358514322642,-0.0824552341469854,0.0124979087721045,0.0590689545326634,0.104575084981064,0.187987284023901,922.634359981422,1.0024820626787,0.802
"betas[17]",0.00917017681012998,0.00132189132816425,0.0447839064914248,-0.0789886267222775,-0.0194653030644833,0.0102032946039159,0.040031867400928,0.0972407852812231,1147.76358430716,1.00087747355252,1
"betas[1]",-1.52933256977785,0.00191985857417289,0.0650573261415616,-1.66096132390677,-1.57376991326589,-1.53121778411961,-1.48476279115957,-1.40182507695724,1148.2962437356,1.00040674695981,1
